set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.3391352 -11.10031188 23.84877914
-10.34048444 -11.09989718 23.85097073
-10.34183036 -11.09947869 23.85316221
-10.34317296 -11.09905641 23.85535358
-10.34451223 -11.09863035 23.85754483
-10.34584817 -11.0982005 23.85973595
-10.34718079 -11.09776686 23.86192695
-10.34851008 -11.09732944 23.86411782
-10.34983605 -11.09688824 23.86630855
-10.3511587 -11.09644325 23.86849915
-10.35247802 -11.09599449 23.8706896
-10.35379401 -11.09554194 23.87287991
-10.35510668 -11.09508561 23.87507007
-10.35641603 -11.0946255 23.87726007
-10.35772205 -11.09416161 23.87944992
-10.35902475 -11.09369394 23.88163961
-10.36032412 -11.09322249 23.88382913
-10.36162017 -11.09274727 23.88601849
-10.3629129 -11.09226827 23.88820767
-10.3642023 -11.09178549 23.89039668
-10.36548839 -11.09129894 23.8925855
-10.36677114 -11.09080862 23.89477414
-10.36805058 -11.09031452 23.8969626
-10.36932669 -11.08981665 23.89915086
-10.37059948 -11.08931501 23.90133892
-10.37186895 -11.08880959 23.90352679
-10.3731351 -11.08830041 23.90571446
-10.37439792 -11.08778745 23.90790191
-10.37565743 -11.08727073 23.91008916
-10.37691361 -11.08675024 23.91227619
-10.37816647 -11.08622598 23.91446301
-10.37941601 -11.08569796 23.9166496
-10.38066222 -11.08516616 23.91883597
-10.38190512 -11.08463061 23.9210221
-10.3831447 -11.08409129 23.92320801
-10.38438095 -11.08354821 23.92539367
-10.38561389 -11.08300136 23.9275791
-10.3868435 -11.08245075 23.92976428
-10.3880698 -11.08189638 23.93194921
-10.38929277 -11.08133825 23.93413389
-10.39051243 -11.08077637 23.93631831
-10.39172877 -11.08021072 23.93850248
-10.39294178 -11.07964131 23.94068638
-10.39415148 -11.07906815 23.94287001
-10.39535786 -11.07849124 23.94505338
-10.39656092 -11.07791056 23.94723646
-10.39776067 -11.07732614 23.94941927
-10.39895709 -11.07673795 23.9516018
-10.4001502 -11.07614602 23.95378404
-10.40133999 -11.07555034 23.95596599
-10.40252646 -11.0749509 23.95814765
-10.40370961 -11.07434771 23.96032901
-10.40488945 -11.07374078 23.96251007
-10.40606597 -11.07313009 23.96469082
-10.40723917 -11.07251566 23.96687127
-10.40840906 -11.07189748 23.9690514
-10.40957563 -11.07127556 23.97123122
-10.41073888 -11.07064989 23.97341072
-10.41189882 -11.07002047 23.97558989
-10.41305544 -11.06938731 23.97776874
-10.41420875 -11.06875041 23.97994726
-10.41535874 -11.06810977 23.98212544
-10.41650541 -11.06746539 23.98430329
-10.41764877 -11.06681727 23.98648079
-10.41878882 -11.06616541 23.98865795
-10.41992555 -11.06550981 23.99083476
-10.42105897 -11.06485048 23.99301121
-10.42218907 -11.0641874 23.99518731
-10.42331587 -11.0635206 23.99736305
-10.42443934 -11.06285006 23.99953842
-10.4255595 -11.06217578 24.00171343
-10.42667636 -11.06149777 24.00388806
-10.42778989 -11.06081603 24.00606232
-10.42890012 -11.06013056 24.00823621
-10.43000703 -11.05944137 24.01040971
-10.43111063 -11.05874844 24.01258282
-10.43221092 -11.05805178 24.01475554
-10.43330789 -11.0573514 24.01692787
-10.43440156 -11.05664729 24.01909981
-10.43549191 -11.05593946 24.02127134
-10.43657895 -11.0552279 24.02344247
-10.43766269 -11.05451262 24.02561319
-10.43874311 -11.05379361 24.0277835
-10.43982022 -11.05307089 24.02995339
-10.44089402 -11.05234444 24.03212287
-10.44196451 -11.05161428 24.03429192
-10.44303169 -11.0508804 24.03646054
-10.44409557 -11.0501428 24.03862874
-10.44515613 -11.04940148 24.0407965
-10.44621338 -11.04865645 24.04296383
-10.44726733 -11.0479077 24.04513072
-10.44831797 -11.04715524 24.04729716
-10.4493653 -11.04639907 24.04946315
-10.45040932 -11.04563918 24.05162869
-10.45145003 -11.04487559 24.05379378
-10.45248744 -11.04410828 24.05595841
-10.45352154 -11.04333727 24.05812257
-10.45455233 -11.04256255 24.06028627
-10.45557982 -11.04178412 24.06244951
-10.456604 -11.04100199 24.06461226
-10.45762487 -11.04021615 24.06677454
-10.45864244 -11.03942661 24.06893634
-10.45965671 -11.03863337 24.07109766
-10.46066767 -11.03783642 24.07325849
-10.46167532 -11.03703578 24.07541883
-10.46267967 -11.03623143 24.07757867
-10.46368071 -11.03542339 24.07973802
-10.46467845 -11.03461165 24.08189686
-10.46567289 -11.03379621 24.0840552
-10.46666402 -11.03297708 24.08621303
-10.46765185 -11.03215426 24.08837035
-10.46863638 -11.03132774 24.09052715
-10.4696176 -11.03049752 24.09268344
-10.47059552 -11.02966362 24.0948392
-10.47157014 -11.02882603 24.09699443
-10.47254146 -11.02798475 24.09914913
-10.47350947 -11.02713978 24.1013033
-10.47447419 -11.02629112 24.10345693
-10.4754356 -11.02543878 24.10561002
-10.47639371 -11.02458275 24.10776257
-10.47734852 -11.02372304 24.10991457
-10.47830004 -11.02285964 24.11206602
-10.47924825 -11.02199257 24.11421691
-10.48019316 -11.02112181 24.11636725
-10.48113477 -11.02024738 24.11851702
-10.48207309 -11.01936926 24.12066623
-10.4830081 -11.01848747 24.12281486
-10.48393982 -11.01760201 24.12496293
-10.48486824 -11.01671287 24.12711042
-10.48579336 -11.01582005 24.12925733
-10.48671518 -11.01492356 24.13140366
-10.48763371 -11.0140234 24.1335494
-10.48854894 -11.01311957 24.13569455
-10.48946087 -11.01221207 24.13783911
-10.4903695 -11.0113009 24.13998307
-10.49127484 -11.01038607 24.14212643
-10.49217689 -11.00946756 24.14426919
-10.49307564 -11.0085454 24.14641134
-10.49397109 -11.00761957 24.14855288
-10.49486325 -11.00669007 24.15069381
-10.49575211 -11.00575692 24.15283412
-10.49663768 -11.0048201 24.1549738
-10.49751996 -11.00387963 24.15711286
-10.49839894 -11.00293549 24.1592513
-10.49927463 -11.0019877 24.1613891
-10.50014703 -11.00103626 24.16352627
-10.50101614 -11.00008116 24.1656628
-10.50188195 -10.9991224 24.16779868
-10.50274447 -10.99815999 24.16993393
-10.5036037 -10.99719394 24.17206852
-10.50445963 -10.99622423 24.17420246
-10.50531228 -10.99525087 24.17633575
-10.50616163 -10.99427386 24.17846837
-10.5070077 -10.99329321 24.18060034
-10.50785048 -10.99230892 24.18273163
-10.50868996 -10.99132097 24.18486226
-10.50952616 -10.99032939 24.18699222
-10.51035906 -10.98933416 24.1891215
-10.51118868 -10.9883353 24.1912501
-10.51201501 -10.98733279 24.19337802
-10.51283805 -10.98632664 24.19550525
-10.51365781 -10.98531686 24.19763179
-10.51447428 -10.98430344 24.19975764
-10.51528746 -10.98328639 24.20188279
-10.51609735 -10.9822657 24.20400724
-10.51690396 -10.98124139 24.20613099
-10.51770728 -10.98021344 24.20825403
-10.51850731 -10.97918186 24.21037637
-10.51930406 -10.97814665 24.21249799
-10.52009753 -10.97710781 24.21461889
-10.52088771 -10.97606535 24.21673907
-10.52167461 -10.97501926 24.21885853
-10.52245822 -10.97396955 24.22097726
-10.52323855 -10.97291622 24.22309526
-10.5240156 -10.97185926 24.22521253
-10.52478936 -10.97079869 24.22732906
-10.52555984 -10.96973449 24.22944485
-10.52632704 -10.96866668 24.2315599
